key,citation,url,license
LANE1973,"Lane, Frederic C. Venice: A Maritime Republic. Baltimore: Johns Hopkins University Press, 1973.",,copyright
OCONNELL2009,"O'Connell, Monique. Men of Empire: Power and Negotiation in Venice's Maritime State. Baltimore: Johns Hopkins University Press, 2009.",,copyright
SHEPHERD1911,"Shepherd, William R. Historical Atlas. New York: Henry Holt and Company, 1911.",,public-domain
MCEVEDY,"McEvedy, Colin. The Penguin Atlas of Medieval History. Harmondsworth: Penguin, 1961.",,copyright
PLEIADES,"Pleiades: A Community-Built Gazetteer and Graph of Ancient Places.",https://pleiades.stoa.org,CC-BY-3.0
NATURALEARTH,"Natural Earth - free vector and raster map data.",https://www.naturalearthdata.com,public-domain
